cryptocurrency,username,user_id,followers_count,tweet_without_stopwords,created_date,retweet_count,reply_count,like_count,sentiment
#bitcoin,rogerkver,176758255,650488,message bitcoin maximalists michaelsaylor cpay taxesd cobey mastersd,2021-03-09T14:58:39.000Z,139,257,652,neu
#bitcoin,aantonop,1469101279,570361,month qampa livestream questions patreon community builders curious check februarys chatted paper wallets criminals bitcoin,2021-03-15T08:00:15.000Z,6,4,40,neu
#bitcoin,aantonop,1469101279,570361,ignore noise learn bitcoin crypto lifeboat learn latest talk,2021-03-13T09:01:35.000Z,124,31,552,neu
#bitcoin,aantonop,1469101279,570361,cstuckd bitcoin transaction,2021-03-12T21:00:07.000Z,10,6,59,neu
#bitcoin,aantonop,1469101279,570361,bitcoin language aantonop channel features dozens subtitled videos languages share,2021-03-12T09:00:10.000Z,34,12,131,neu
#bitcoin,aantonop,1469101279,570361,paper wallets inflation criminals bitcoin februarys livestream topics asked answered watch,2021-03-12T03:00:06.000Z,25,5,135,neu
#bitcoin,aantonop,1469101279,570361,video hit 100k views glad find bitcoin basics workshop helpful remember offer free website earn certificate completion,2021-03-11T21:00:04.000Z,35,10,181,neu
#bitcoin,aantonop,1469101279,570361,rich people bitcoin isnt endorsement bitcoin recognize fiat ships sinking learn learn explain,2021-03-11T03:00:47.000Z,151,26,665,neu
#bitcoin,aantonop,1469101279,570361,month host qampa livestream session answer bitcoin open blockchains februarys havent,2021-03-08T21:00:17.000Z,5,5,48,neu
#bitcoin,ErikVoorhees,61417559,429474,bitcoin wear mask access,2021-03-13T17:51:31.000Z,36,61,278,neu
#bitcoin,ErikVoorhees,61417559,429474,bitcoin character money left undiscussed,2021-03-13T04:36:17.000Z,27,20,321,neu
#bitcoin,ErikVoorhees,61417559,429474,pro swap tokens metamasks fees shapeshiftio appand metamask support bitcoin nonethereum chains,2021-03-12T19:27:12.000Z,10,13,59,neu
#bitcoin,tyler,24222556,571182,3 billion video game players worldwidedo prefer gold bitcoin prefer cash cryptodo prefer physical art nftsdo prefer wall street defi,2021-03-15T13:03:47.000Z,380,212,2024,neu
#bitcoin,tyler,24222556,571182,bitcoin defense fed,2021-03-14T18:29:09.000Z,311,149,3289,neu
#bitcoin,tyler,24222556,571182,bitcoin ripping filecoin fil tear 30,2021-03-14T12:21:58.000Z,81,123,925,neu
#bitcoin,tyler,24222556,571182,60k foundation bitcoin,2021-03-14T12:19:26.000Z,215,134,2964,neu
#bitcoin,tyler,24222556,571182,bitcoin 60k trendingyeehaw,2021-03-13T14:55:51.000Z,272,112,3089,neu
#bitcoin,tyler,24222556,571182,4wordsbetterthansex bitcoin alltimehigh,2021-03-13T13:44:02.000Z,362,277,4073,neu
#bitcoin,tyler,24222556,571182,good morning 60k bitcoin,2021-03-13T13:29:56.000Z,356,132,3696,neu
#bitcoin,tyler,24222556,571182,androids dream electric sheep bitcoin,2021-03-12T14:41:49.000Z,61,101,848,neu
#bitcoin,tyler,24222556,571182,biden signs 19 trillion dollar advertisement bitcoin,2021-03-11T23:52:09.000Z,1202,290,9170,neu
#bitcoin,tyler,24222556,571182,bitcoin journey truth nature money rabbit hole glass wardrobe upsidedown red pill,2021-03-11T14:56:27.000Z,251,147,1754,neu
#bitcoin,tyler,24222556,571182,stimmy trending bitcoin trending,2021-03-11T00:23:08.000Z,302,155,3667,neu
#bitcoin,tyler,24222556,571182,house vote 19 trillion dollar advertisement bitcoin senate approval,2021-03-10T18:14:29.000Z,426,164,4084,neu
#bitcoin,tyler,24222556,571182,lot institutional money coming bitcoin sitting sidelines pitch inning,2021-03-10T14:41:25.000Z,328,134,3109,neu
#bitcoin,tyler,24222556,571182,bitcoin roared 55k 60k,2021-03-10T13:21:23.000Z,720,315,7398,neu
#bitcoin,tyler,24222556,571182,company decided bitcoin balance sheetamerican residential warranty teamed gemini invest directly bitcoin onward u0001f680,2021-03-09T20:56:10.000Z,262,67,1478,neu
#bitcoin,tyler,24222556,571182,company putting bitcoin balance sheet,2021-03-09T20:27:12.000Z,235,81,1714,neu
#bitcoin,tyler,24222556,571182,week day bitcoin chilling 50k 19 trillion dollars system,2021-03-08T17:06:05.000Z,367,194,3276,neu
#bitcoin,cameron,250980843,412432,fiat money decades scale reached billion unbanked bitcoin internet goeswhich profoundly socially scalable,2021-03-14T19:11:46.000Z,215,104,1489,neu
#bitcoin,cameron,250980843,412432,stimmy checks flooding bitcoin,2021-03-14T13:48:23.000Z,217,176,2697,neu
#bitcoin,cameron,250980843,412432,good morning bitcoin 60k,2021-03-13T14:10:17.000Z,298,139,3836,pos
#bitcoin,cameron,250980843,412432,bitcoin breaks frame fiat narrative,2021-03-12T20:24:05.000Z,145,89,1536,neu
#bitcoin,cameron,250980843,412432,bitcoin brings scarcity digital money nfts bring scarcity digital art,2021-03-10T17:59:20.000Z,263,221,2302,neu
#bitcoin,cameron,250980843,412432,tomorrow house set 19 trillion reasons bitcoin,2021-03-10T03:11:18.000Z,629,222,5709,neu
#bitcoin,cameron,250980843,412432,bitcoin strength decentralized money,2021-03-09T14:18:02.000Z,313,176,2913,neu
#bitcoin,Cointelegraph,2207129125,700174,athletics offering fans full season sixperson suite season price 1bitcoin,2021-03-15T09:52:32.000Z,10,7,51,neu
#bitcoin,Cointelegraph,2207129125,700174,bitcoin price prediction team michaelsaylor 100trillionusd apompliano begun telling,2021-03-14T12:00:29.000Z,38,17,141,neu
#bitcoin,Cointelegraph,2207129125,700174,goldman sachs braces wave crypto customers coo consumers financial services digital assets bitcoin etf,2021-03-14T07:15:00.000Z,74,19,359,neu
#bitcoin,Cointelegraph,2207129125,700174,analysts expect bitcoin altcoins soar uncharted territory btc hit high 61800,2021-03-14T00:20:32.000Z,45,11,261,neu
#bitcoin,Cointelegraph,2207129125,700174,march 12 2020 remember day black thursday btc crashed 3600 things time,2021-03-13T20:00:01.000Z,11,8,74,neu
