cryptocurrency,username,user_id,followers_count,tweet_text,created_date,retweet_count,reply_count,like_count,sentiment
#bitcoin,rogerkver,176758255,650488,b'The message from #Bitcoin maximalists like @michael_saylor is \\u201cpay your taxes\\u201d and \\u201cobey your masters\\u201d. https://t.co/vdRXroyKbo',2021-03-09T14:58:39.000Z,139,257,652,neu
#bitcoin,aantonop,1469101279,570361,"b'Every month I do a Q&amp;A livestream. I take questions from Patreon Community Builders first, and then others. If you\\u2019re curious what they\\u2019re like, check out February\\u2019s where we chatted about paper wallets, criminals using #bitcoin, &amp; more: https://t.co/2Nsv2D4Zq7 https://t.co/dqCHOZcfnX'",2021-03-15T08:00:15.000Z,6,4,40,neu
#bitcoin,aantonop,1469101279,570361,"b'Ignore the noise. Learn about #Bitcoin, get a #crypto lifeboat, and then help someone else get theirs. Learn what I mean with my latest talk: https://t.co/NmljpasAtU https://t.co/DCbO1njsjT'",2021-03-13T09:01:35.000Z,124,31,552,neu
#bitcoin,aantonop,1469101279,570361,b'Here\\u2019s what a \\u201cstuck\\u201d #bitcoin transaction means: https://t.co/TwB34TE1ii https://t.co/ohDsTpYntl',2021-03-12T21:00:07.000Z,10,6,59,neu
#bitcoin,aantonop,1469101279,570361,b'Looking for information on #bitcoin in another language? The aantonop channel features dozens of subtitled videos in different languages. Please share them with anyone who may need them: https://t.co/rgOqfV22mr https://t.co/hjgxh6sF6Z',2021-03-12T09:00:10.000Z,34,12,131,neu
#bitcoin,aantonop,1469101279,570361,"b'Paper wallets, inflation, &amp; criminals using #bitcoin were just a few of February\\u2019s livestream topics. You asked &amp; I answered! Watch: https://t.co/2Nsv2D4Zq7 https://t.co/9rJd8nPgut'",2021-03-12T03:00:06.000Z,25,5,135,neu
#bitcoin,aantonop,1469101279,570361,"b'This video recently hit 100k+ views! I\\u2019m so glad you find the #bitcoin basics workshop helpful, and remember, I offer a free Into course on my website that you can take &amp; earn a certificate of completion: https://t.co/3qpqdYfGkq https://t.co/auKnuvZWOL'",2021-03-11T21:00:04.000Z,35,10,181,neu
#bitcoin,aantonop,1469101279,570361,"b""Rich people getting into #bitcoin isn't an endorsement of bitcoin. It's that they recognize the fiat ships might all be sinking! Learn more for yourself, learn more to help explain to others: https://t.co/NmljpasAtU https://t.co/o1rtSmxrD4""",2021-03-11T03:00:47.000Z,151,26,665,neu
#bitcoin,aantonop,1469101279,570361,b'Every month I host a Q&amp;A livestream session where I answer just about anything regarding #bitcoin &amp; open blockchains. Here\\u2019s February\\u2019s if you haven\\u2019t yet taken a look: https://t.co/2Nsv2D4Zq7 https://t.co/6n0sDDhZFy',2021-03-08T21:00:17.000Z,5,5,48,neu
#bitcoin,ErikVoorhees,61417559,429474,b'#Bitcoin will never make you wear a mask to access it. \\n\\nhttps://t.co/zIbF8KCkuH',2021-03-13T17:51:31.000Z,36,61,278,neu
#bitcoin,ErikVoorhees,61417559,429474,"b'Until #bitcoin came along, the *character* of money was left undiscussed.'",2021-03-13T04:36:17.000Z,27,20,321,neu
