cryptocurrency,username,user_id,followers_count,tweet_text,created_date,retweet_count,reply_count,like_count,sentiment
#bitcoin,rogerkver,176758255,663679,"My 1,000 #BitcoinCash stickers I bought with #BCH just arrived. 
Buy yours at https://t.co/L7IkdexBo3
Add your business at https://t.co/9VbxdiPxx6 https://t.co/CTAbVhXgSk",2021-04-13T16:36:19.000Z,69,63,426,neu
#bitcoin cash,rogerkver,176758255,663679,"My 1,000 #BitcoinCash stickers I bought with #BCH just arrived. 
Buy yours at https://t.co/L7IkdexBo3
Add your business at https://t.co/9VbxdiPxx6 https://t.co/CTAbVhXgSk",2021-04-13T16:36:19.000Z,69,63,426,neu
#bitcoin,aantonop,1469101279,577594,Did you know I have a free #bitcoin introductory workshop? Learn more and register right meow! https://t.co/ezLnod9YFo https://t.co/6zqocJn72o,2021-04-13T20:00:05.000Z,16,8,88,neu
#bitcoin,aantonop,1469101279,577594,"Visit the aantonop Shop to learn about #bitcoin from books and workshops, then show off your understanding with swag. Discounts when you buy our bundles from https://t.co/hxCpJBYuZQ #crypto https://t.co/tRTOPivrKN",2021-04-12T20:00:06.000Z,8,1,33,neu
#bitcoin,aantonop,1469101279,577594,"In this 7min video, I review strategies from simple to advanced to help you maintain #privacy when using #bitcoin: https://t.co/7Kfnimji3m https://t.co/Tug083UX9P",2021-04-10T14:00:12.000Z,69,9,198,neu
#bitcoin,aantonop,1469101279,577594,So you transferred your #bitcoin with a low fee and it's been unconfirmed for 10 days. What should you do? Learn in 4min: https://t.co/TwB34TE1ii #crypto https://t.co/xMRwKlKX8p,2021-04-10T08:00:07.000Z,24,16,135,neu
#bitcoin,aantonop,1469101279,577594,"Weve added playlists for #bitcoin, #ethereum, and #lightningnetwork Q&amp;As! Check it out: https://t.co/OqSjEXiHUZ https://t.co/vMzNxihyxD",2021-04-09T14:00:20.000Z,12,3,57,neu
#ethereum,aantonop,1469101279,577594,"Weve added playlists for #bitcoin, #ethereum, and #lightningnetwork Q&amp;As! Check it out: https://t.co/OqSjEXiHUZ https://t.co/vMzNxihyxD",2021-04-09T14:00:20.000Z,12,3,57,neu
#bitcoin,aantonop,1469101279,577594,"In #bitcoin, privacy isn't a one and done sort of thing, but here are the simple ways you can increase #privacy on your bitcoin transactions right now: https://t.co/FNaDSXFfCu https://t.co/eoBsPSSOLD",2021-04-09T08:00:17.000Z,68,12,266,neu
#bitcoin,aantonop,1469101279,577594,"If you cant afford one whole #bitcoin, heres what you can do instead: https://t.co/uSN8qqhrL2 https://t.co/WoJH8bHGrC",2021-04-08T14:00:23.000Z,26,7,128,neu
#bitcoin,ErikVoorhees,61417559,440881,"Behold... this has never been done before.

Native (unwrapped) #Ethereum in

Native (unwrapped) #Bitcoin out

$5,000 trade
No intermediary 
No custody 
No KYC

@ShapeShift_io today launched decentralized cross-chain trading, by integrating @THORChain (which also launched today) https://t.co/KXe9sQ0uw0",2021-04-13T17:24:05.000Z,469,174,2279,neu
#ethereum,ErikVoorhees,61417559,440881,"Behold... this has never been done before.

Native (unwrapped) #Ethereum in

Native (unwrapped) #Bitcoin out

$5,000 trade
No intermediary 
No custody 
No KYC

@ShapeShift_io today launched decentralized cross-chain trading, by integrating @THORChain (which also launched today) https://t.co/KXe9sQ0uw0",2021-04-13T17:24:05.000Z,469,174,2279,neu
#bitcoin,ErikVoorhees,61417559,440881,"This quick new video from Al Jazeera is a good intro for new people to #Bitcoin 

Reasonable explanation of the basics, mostly accurate.

Whats behind the Bitcoin hype? | Start Here https://t.co/8ICBlaQlV6 via @YouTube",2021-04-11T13:51:36.000Z,15,10,80,neu
#bitcoin,ErikVoorhees,61417559,440881,"#bitcoin becomes the worlds reserve not by any central mandate or capitulating vote, but over a span of many years by a billion decision-makers, large and small, choosing at widening margins to hold value in a scarce asset, rather than a limitless alternative.",2021-04-09T14:15:09.000Z,128,64,781,neu
